teatro,mes,preco_inteira,dia_da_semana,is_fim_de_semana,antecedencia_compra_dias,tipo_cod,categoria_cod,probabilidade_noshow,alto_risco
Tearro Apolo,1,43.05,2.0,0.0,5.0,1.0,4.0,19.57,0
Tearro Apolo,1,36.84,7.0,1.0,11.0,2.0,4.0,19.33,0
Tearro Apolo,1,51.27,7.0,1.0,3.0,2.0,4.0,15.83,0
Tearro Apolo,1,38.15,6.0,1.0,41.0,2.0,4.0,21.45,1
Tearro Apolo,1,45.32,7.0,1.0,45.0,1.0,4.0,16.97,0
Tearro Apolo,1,31.86,7.0,1.0,41.0,1.0,4.0,16.3,0
Teatro Barreto Júnior,1,41.51,4.0,0.0,49.0,2.0,0.0,33.13,1
Teatro Barreto Júnior,1,43.71,3.0,0.0,48.0,2.0,0.0,34.73,1
Teatro Barreto Júnior,1,20.43,1.0,0.0,8.0,0.0,0.0,16.59,0
Teatro Barreto Júnior,1,44.68,1.0,0.0,34.0,1.0,0.0,28.41,1
Teatro Barreto Júnior,1,42.93,2.0,0.0,24.0,2.0,0.0,22.13,1
Teatro Barreto Júnior,1,25.81,6.0,1.0,7.0,1.0,0.0,19.49,0
Teatro Barreto Júnior,1,41.26,3.0,0.0,1.0,0.0,0.0,12.02,0
Teatro Barreto Júnior,1,39.87,1.0,0.0,30.0,2.0,0.0,32.5,1
Teatro Barreto Júnior,1,34.02,7.0,1.0,5.0,1.0,0.0,12.49,0
Teatro Barreto Júnior,1,39.0,1.0,0.0,16.0,2.0,0.0,30.71,1
Teatro de Santa Isabel,1,30.66,1.0,0.0,27.0,2.0,4.0,29.11,1
Teatro de Santa Isabel,1,42.38,2.0,0.0,30.0,2.0,4.0,27.12,1
Teatro de Santa Isabel,1,40.22,6.0,1.0,25.0,2.0,4.0,27.42,1
Teatro de Santa Isabel,1,48.35,1.0,0.0,48.0,0.0,4.0,16.0,0
Teatro de Santa Isabel,1,36.1,2.0,0.0,58.0,1.0,4.0,27.8,1
Teatro de Santa Isabel,1,48.38,4.0,0.0,9.0,1.0,4.0,8.22,0
Teatro do Parque,1,67.68,2.0,0.0,1.0,1.0,2.0,14.03,0
Teatro do Parque,1,63.41,6.0,1.0,7.0,0.0,2.0,10.78,0
Teatro do Parque,1,82.68,7.0,1.0,14.0,0.0,2.0,4.93,0
Teatro do Parque,1,86.28,1.0,0.0,12.0,2.0,2.0,16.92,0
Teatro do Parque,1,63.43,4.0,0.0,2.0,0.0,2.0,5.53,0
Teatro do Parque,1,66.73,4.0,0.0,7.0,1.0,2.0,20.47,1
Teatro do Parque,1,67.19,6.0,1.0,45.0,1.0,2.0,8.26,0
Teatro do Parque,1,51.32,2.0,0.0,45.0,0.0,2.0,24.01,1
Teatro do Parque,1,53.93,4.0,0.0,30.0,1.0,2.0,19.12,0
Teatro do Parque,1,79.07,2.0,0.0,18.0,1.0,2.0,9.8,0
Teatro do Parque,1,52.81,1.0,0.0,45.0,2.0,2.0,19.97,0
Teatro do Parque,1,61.72,1.0,0.0,31.0,0.0,2.0,11.18,0
Teatro do Parque,1,62.76,6.0,1.0,8.0,2.0,2.0,25.43,1
Teatro Hermilo Borba Filho,1,58.77,3.0,0.0,38.0,2.0,4.0,26.71,1
Teatro Hermilo Borba Filho,1,52.06,3.0,0.0,32.0,2.0,4.0,22.42,1
Teatro Hermilo Borba Filho,1,31.23,5.0,0.0,32.0,0.0,4.0,14.01,0
Teatro Hermilo Borba Filho,1,29.03,4.0,0.0,36.0,1.0,4.0,32.88,1
Teatro Hermilo Borba Filho,1,30.13,2.0,0.0,9.0,0.0,4.0,17.39,0
Teatro Hermilo Borba Filho,1,26.25,6.0,1.0,3.0,1.0,4.0,21.35,1
Teatro Hermilo Borba Filho,1,41.55,5.0,0.0,48.0,2.0,4.0,30.26,1
Teatro Luiz Mendonça,1,64.03,2.0,0.0,3.0,0.0,2.0,13.27,0
Tearro Apolo,2,28.88,3.0,0.0,42.0,0.0,4.0,26.37,1
Teatro Barreto Júnior,2,39.54,5.0,0.0,39.0,1.0,0.0,25.62,1
Teatro Barreto Júnior,2,32.48,6.0,1.0,47.0,1.0,0.0,24.33,1
Teatro Barreto Júnior,2,37.96,5.0,0.0,14.0,1.0,0.0,27.19,1
Teatro Barreto Júnior,2,31.71,3.0,0.0,48.0,2.0,0.0,36.11,1
Teatro Barreto Júnior,2,52.32,4.0,0.0,39.0,0.0,0.0,19.96,0
Teatro de Santa Isabel,2,40.67,6.0,1.0,36.0,2.0,4.0,21.22,1
Teatro do Parque,2,76.71,4.0,0.0,57.0,2.0,2.0,15.57,0
Teatro do Parque,2,59.82,1.0,0.0,56.0,2.0,2.0,23.19,1
Teatro do Parque,2,52.83,1.0,0.0,34.0,1.0,2.0,19.46,0
Teatro do Parque,2,65.72,4.0,0.0,8.0,2.0,2.0,19.55,0
Teatro do Parque,2,49.18,7.0,1.0,47.0,0.0,2.0,19.38,0
Teatro do Parque,2,67.33,5.0,0.0,32.0,0.0,2.0,13.57,0
Teatro do Parque,2,68.83,1.0,0.0,44.0,0.0,2.0,11.19,0
Teatro Hermilo Borba Filho,2,42.02,4.0,0.0,0.0,2.0,4.0,25.83,1
Teatro Hermilo Borba Filho,2,45.54,4.0,0.0,35.0,0.0,4.0,20.02,1
Teatro Luiz Mendonça,2,78.1,5.0,0.0,19.0,1.0,2.0,16.4,0
Teatro Luiz Mendonça,2,70.24,1.0,0.0,53.0,2.0,2.0,23.9,1
Teatro Luiz Mendonça,2,72.02,2.0,0.0,38.0,0.0,2.0,15.66,0
Tearro Apolo,3,45.3,6.0,1.0,12.0,0.0,4.0,16.02,0
Tearro Apolo,3,37.34,7.0,1.0,59.0,2.0,4.0,18.52,0
Teatro Barreto Júnior,3,11.66,1.0,0.0,47.0,2.0,0.0,42.38,1
Teatro Barreto Júnior,3,34.31,5.0,0.0,33.0,1.0,0.0,21.72,1
Teatro Barreto Júnior,3,29.06,1.0,0.0,43.0,1.0,0.0,20.98,1
Teatro Barreto Júnior,3,38.93,7.0,1.0,27.0,2.0,0.0,28.06,1
Teatro Barreto Júnior,3,28.95,4.0,0.0,47.0,0.0,0.0,26.39,1
Teatro Barreto Júnior,3,38.62,5.0,0.0,32.0,2.0,0.0,28.01,1
Teatro Barreto Júnior,3,46.15,7.0,1.0,28.0,0.0,0.0,17.09,0
Teatro Barreto Júnior,3,36.6,1.0,0.0,24.0,1.0,0.0,25.97,1
Teatro Barreto Júnior,3,26.67,7.0,1.0,2.0,0.0,0.0,25.26,1
Teatro Barreto Júnior,3,46.06,3.0,0.0,33.0,1.0,0.0,25.48,1
Teatro Barreto Júnior,3,41.19,4.0,0.0,38.0,1.0,0.0,26.92,1
Teatro Barreto Júnior,3,49.33,3.0,0.0,44.0,1.0,0.0,21.8,1
Teatro Barreto Júnior,3,39.3,6.0,1.0,3.0,0.0,0.0,16.7,0
Teatro Barreto Júnior,3,31.91,2.0,0.0,26.0,2.0,0.0,22.13,1
Teatro Barreto Júnior,3,48.64,4.0,0.0,22.0,1.0,0.0,34.84,1
Teatro Barreto Júnior,3,39.35,7.0,1.0,45.0,1.0,0.0,22.88,1
Teatro Barreto Júnior,3,34.14,5.0,0.0,10.0,1.0,0.0,30.9,1
Teatro Barreto Júnior,3,25.3,6.0,1.0,30.0,1.0,0.0,19.72,0
Teatro de Santa Isabel,3,54.55,7.0,1.0,9.0,0.0,4.0,10.02,0
Teatro de Santa Isabel,3,44.52,2.0,0.0,60.0,1.0,4.0,13.64,0
Teatro de Santa Isabel,3,32.13,4.0,0.0,39.0,1.0,4.0,23.49,1
Teatro de Santa Isabel,3,42.03,5.0,0.0,56.0,2.0,4.0,32.57,1
Teatro de Santa Isabel,3,42.96,3.0,0.0,35.0,0.0,4.0,13.49,0
