teatro,mes,preco_efetivo,preco_inteira,capacidade,categoria_cod,receita_real
Tearro Apolo,1,37.38,43.05,350.0,4.0,8050.27
Tearro Apolo,1,35.42,36.84,350.0,4.0,5685.31
Tearro Apolo,1,44.45,51.27,350.0,4.0,7833.7
Tearro Apolo,1,34.09,38.15,350.0,4.0,7809.44
Tearro Apolo,1,44.73,45.32,350.0,4.0,7959.48
Tearro Apolo,1,27.37,31.86,350.0,4.0,5665.9
Teatro Barreto Júnior,1,36.06,41.51,400.0,0.0,8100.25
Teatro Barreto Júnior,1,41.88,43.71,400.0,0.0,7034.87
Teatro Barreto Júnior,1,15.64,20.43,400.0,0.0,3839.14
Teatro Barreto Júnior,1,37.11,44.68,400.0,0.0,7770.16
Teatro Barreto Júnior,1,42.54,42.93,400.0,0.0,6593.8
Teatro Barreto Júnior,1,23.63,25.81,400.0,0.0,4994.12
Teatro Barreto Júnior,1,36.23,41.26,400.0,0.0,6961.04
Teatro Barreto Júnior,1,37.94,39.87,400.0,0.0,6423.99
Teatro Barreto Júnior,1,30.94,34.02,400.0,0.0,5898.37
Teatro Barreto Júnior,1,30.81,39.0,400.0,0.0,7449.42
Teatro de Santa Isabel,1,28.16,30.66,750.0,4.0,12165.88
Teatro de Santa Isabel,1,40.13,42.38,750.0,4.0,15112.04
Teatro de Santa Isabel,1,33.17,40.22,750.0,4.0,13457.89
Teatro de Santa Isabel,1,46.25,48.35,750.0,4.0,18151.07
Teatro de Santa Isabel,1,32.35,36.1,750.0,4.0,12371.36
Teatro de Santa Isabel,1,41.32,48.38,750.0,4.0,21033.26
Teatro do Parque,1,60.95,67.68,500.0,2.0,18278.32
Teatro do Parque,1,52.87,63.41,500.0,2.0,17604.54
Teatro do Parque,1,63.61,82.68,500.0,2.0,26054.46
Teatro do Parque,1,64.81,86.28,500.0,2.0,23723.27
Teatro do Parque,1,58.56,63.43,500.0,2.0,16129.99
Teatro do Parque,1,51.74,66.73,500.0,2.0,21347.1
Teatro do Parque,1,53.86,67.19,500.0,2.0,18799.73
Teatro do Parque,1,49.43,51.32,500.0,2.0,15275.54
Teatro do Parque,1,48.91,53.93,500.0,2.0,18192.05
Teatro do Parque,1,75.95,79.07,500.0,2.0,19428.44
Teatro do Parque,1,49.65,52.81,500.0,2.0,16101.07
Teatro do Parque,1,52.68,61.72,500.0,2.0,20242.41
Teatro do Parque,1,52.31,62.76,500.0,2.0,17004.38
Teatro Hermilo Borba Filho,1,42.32,58.77,200.0,4.0,5267.43
Teatro Hermilo Borba Filho,1,39.1,52.06,200.0,4.0,4247.15
Teatro Hermilo Borba Filho,1,25.12,31.23,200.0,4.0,2379.93
Teatro Hermilo Borba Filho,1,21.92,29.03,200.0,4.0,3834.76
Teatro Hermilo Borba Filho,1,28.83,30.13,200.0,4.0,3113.28
Teatro Hermilo Borba Filho,1,26.08,26.25,200.0,4.0,2392.72
Teatro Hermilo Borba Filho,1,37.59,41.55,200.0,4.0,4344.51
Teatro Luiz Mendonça,1,59.24,64.03,300.0,2.0,12070.2
Tearro Apolo,2,21.66,28.88,350.0,4.0,5827.7
Teatro Barreto Júnior,2,27.92,39.54,400.0,0.0,7319.03
Teatro Barreto Júnior,2,27.47,32.48,400.0,0.0,6551.52
Teatro Barreto Júnior,2,36.37,37.96,400.0,0.0,5598.09
Teatro Barreto Júnior,2,28.1,31.71,400.0,0.0,5047.11
Teatro Barreto Júnior,2,47.17,52.32,400.0,0.0,9657.17
Teatro de Santa Isabel,2,37.15,40.67,750.0,4.0,14376.09
Teatro do Parque,2,74.52,76.71,500.0,2.0,20017.08
Teatro do Parque,2,49.16,59.82,500.0,2.0,19434.93
Teatro do Parque,2,51.33,52.83,500.0,2.0,15976.01
Teatro do Parque,2,49.96,65.72,500.0,2.0,21417.78
Teatro do Parque,2,47.89,49.18,500.0,2.0,14695.75
Teatro do Parque,2,51.93,67.33,500.0,2.0,19447.81
Teatro do Parque,2,49.5,68.83,500.0,2.0,18880.64
Teatro Hermilo Borba Filho,2,35.98,42.02,200.0,4.0,4489.21
Teatro Hermilo Borba Filho,2,33.92,45.54,200.0,4.0,3982.05
Teatro Luiz Mendonça,2,58.76,78.1,300.0,2.0,11766.93
Teatro Luiz Mendonça,2,53.78,70.24,300.0,2.0,11941.39
Teatro Luiz Mendonça,2,50.43,72.02,300.0,2.0,12422.25
Tearro Apolo,3,42.03,45.3,350.0,4.0,7833.42
Tearro Apolo,3,37.28,37.34,350.0,4.0,6926.73
Teatro Barreto Júnior,3,11.46,11.66,400.0,0.0,2621.05
Teatro Barreto Júnior,3,33.02,34.31,400.0,0.0,6340.99
Teatro Barreto Júnior,3,22.65,29.06,400.0,0.0,4807.6
Teatro Barreto Júnior,3,31.73,38.93,400.0,0.0,7794.67
Teatro Barreto Júnior,3,27.36,28.95,400.0,0.0,4798.21
Teatro Barreto Júnior,3,27.66,38.62,400.0,0.0,6936.1
Teatro Barreto Júnior,3,44.09,46.15,400.0,0.0,7516.77
Teatro Barreto Júnior,3,33.26,36.6,400.0,0.0,6191.67
